Time,Temperature (C),Humidity (%)
10:23:58,19.0,48.0
10:24:00,19.0,48.0
10:24:01,19.0,48.0
10:24:03,19.0,48.0
10:24:04,19.0,48.0
10:24:06,19.0,48.0
10:24:07,19.0,48.0
10:24:09,19.0,48.0
10:24:10,19.0,48.0
10:24:12,19.0,48.0
10:24:13,19.0,48.0
10:24:16,19.0,48.0
10:24:17,19.0,47.0
10:24:19,19.0,48.0
10:24:20,19.0,48.0
10:24:22,19.0,48.0
10:24:23,19.0,48.0
10:24:25,19.0,48.0
10:24:26,19.0,48.0
10:24:28,19.0,48.0
10:24:29,19.0,48.0
10:24:31,19.0,48.0
10:24:32,19.0,48.0
10:24:34,19.0,48.0
10:24:35,19.0,48.0
10:24:37,19.0,48.0
10:24:39,19.0,48.0
10:24:40,20.0,47.0
10:24:42,19.0,48.0
10:24:44,19.0,48.0
10:24:46,19.0,48.0
10:24:47,19.0,47.0
10:24:49,19.0,48.0
10:24:50,19.0,48.0
10:24:52,19.0,48.0
10:24:53,19.0,48.0
10:24:55,19.0,48.0
10:24:56,19.0,48.0
10:24:58,19.0,48.0
10:24:59,19.0,48.0
10:25:01,19.0,48.0
10:25:02,19.0,48.0
10:25:04,19.0,48.0
10:25:05,19.0,48.0
10:25:07,19.0,48.0
10:25:08,19.0,48.0
10:25:10,19.0,48.0
10:25:12,19.0,48.0
10:25:13,19.0,48.0
10:25:15,19.0,48.0
10:25:16,19.0,48.0
10:25:18,19.0,48.0
10:25:19,19.0,48.0
10:25:21,19.0,48.0
10:25:22,19.0,48.0
10:25:24,19.0,48.0
10:25:25,19.0,48.0
10:25:27,19.0,48.0
10:25:28,19.0,48.0
10:25:30,19.0,48.0
10:25:31,19.0,48.0
10:25:33,19.0,48.0
10:25:34,19.0,48.0
10:25:36,19.0,48.0
10:25:39,19.0,47.0
10:25:41,19.0,47.0
10:25:42,19.0,48.0
10:25:44,19.0,48.0
10:25:45,19.0,48.0
10:25:47,19.0,48.0
10:25:48,19.0,48.0
10:25:50,19.0,48.0
10:25:51,19.0,48.0
10:25:53,19.0,48.0
10:25:54,19.0,48.0
10:25:56,19.0,48.0
