Hora,Temperatura (C),Voltaje C (V)
10:57:39,26.3695547349,2.4814507279
10:57:40,26.3820551164,2.4835757927
10:57:41,26.3945554979,2.482700766
10:57:42,26.4070558794,2.4820757469
10:57:43,26.4164311655,2.4834507889
10:57:44,26.4383068331,2.4835757927
10:57:45,26.4476821192,2.4830757775
10:57:46,26.4539323099,2.4824507584
10:57:47,26.4570574053,2.4829507736
10:57:48,26.4570574053,2.4833257851
10:57:49,26.4601825007,2.4825757622
10:57:50,26.4758079775,2.4825757622
10:57:51,26.4851832636,2.4784506363
10:57:52,26.4851832636,2.4809507126
10:57:53,26.4726828822,2.4842008118
10:57:54,26.4789330729,2.4798256783
10:57:55,26.5008087405,2.4828257698
10:57:56,26.513309122,2.4828257698
10:57:57,26.5164342174,2.4824507584
10:57:58,26.5226844081,2.4833257851
10:57:59,26.5476851711,2.4862008728
10:58:00,26.5664357433,2.4909510178
10:58:01,26.5851863155,2.4794506668
10:58:03,26.5914365062,2.4883259377
10:58:04,26.5945616016,2.487450911
10:58:05,26.5851863155,2.4925760674
10:58:06,26.5633106479,2.4799506821
10:58:07,26.5351847896,2.484075808
10:58:08,26.513309122,2.4882009339
10:58:09,26.4976836451,2.4842008118
10:58:10,26.488308359,2.484075808
10:58:11,26.5101840266,2.4805757012
10:58:12,26.5101840266,2.4825757622
10:58:13,26.5101840266,2.484075808
10:58:14,26.5164342174,2.4819507431
10:58:15,26.5101840266,2.4819507431
10:58:16,26.4976836451,2.4823257546
10:58:17,26.4789330729,2.4828257698
10:58:18,26.4633075961,2.4794506668
10:58:19,26.4476821192,2.4833257851
10:58:20,26.4258064516,2.4888259529
10:58:21,26.4070558794,2.4812007202
10:58:22,26.3914304025,2.4848258309
10:58:23,26.3914304025,2.4877009186
10:58:24,26.3820551164,2.4893259682
10:58:25,26.3883053072,2.4837007965
10:58:26,26.4070558794,2.4828257698
10:58:27,26.4383068331,2.4817007355
10:58:28,26.4664326914,2.4832007813
10:58:29,26.4914334544,2.4839508042
10:58:30,26.513309122,2.4863258766
10:58:31,26.5351847896,2.4848258309
10:58:32,26.5508102664,2.482700766
10:58:33,26.5914365062,2.4818257393
10:58:35,26.6226874599,2.4835757927
10:58:36,26.6383129368,2.4817007355
10:58:37,26.6351878414,2.4818257393
10:58:38,26.6164372692,2.4790756554
10:58:39,26.6195623646,2.4825757622
10:58:40,26.6289376507,2.4837007965
10:58:41,26.6258125553,2.4809507126
10:58:42,26.6351878414,2.4823257546
10:58:43,26.6289376507,2.4829507736
10:58:44,26.6133121738,2.4838258003
10:58:45,26.6258125553,2.4872009033
10:58:46,26.6383129368,2.4813257241
10:58:47,26.6289376507,2.4838258003
10:58:48,26.6164372692,2.4824507584
10:58:49,26.6226874599,2.4817007355
10:58:50,26.6258125553,2.4839508042
10:58:51,26.6320627461,2.4815757317
10:58:52,26.6508133183,2.482700766
10:58:53,26.6758140812,2.4833257851
10:58:54,26.7008148442,2.4832007813
10:58:55,26.7289407025,2.4837007965
10:58:56,26.7539414655,2.4828257698
10:58:57,26.7726920377,2.4832007813
10:58:58,26.8008178961,2.4852008423
10:58:59,26.8101931822,2.4834507889
10:59:00,26.8195684683,2.4843258156
10:59:01,26.825818659,2.4849508347
10:59:02,26.8320688498,2.4862008728
10:59:03,26.8351939451,2.484075808
10:59:04,26.8351939451,2.4850758385
10:59:05,26.8383190405,2.4834507889
10:59:07,26.8383190405,2.4852008423
10:59:08,26.8383190405,2.484075808
10:59:09,26.8414441359,2.4834507889
10:59:10,26.8414441359,2.4613251137
10:59:11,26.8383190405,2.5019513535
10:59:12,26.8320688498,2.487450911
10:59:13,26.8289437544,2.484075808
10:59:14,26.8289437544,2.4829507736
10:59:15,26.8320688498,2.4819507431
10:59:16,26.8383190405,2.4825757622
10:59:17,26.8414441359,2.4843258156
10:59:18,26.8414441359,2.4832007813
10:59:19,26.8351939451,2.4838258003
10:59:20,26.8289437544,2.4834507889
10:59:21,26.825818659,2.4824507584
10:59:22,26.825818659,2.4834507889
10:59:23,26.825818659,2.4748255257
10:59:24,26.825818659,2.4647002167
10:59:25,26.8320688498,2.4819507431
10:59:26,26.8320688498,2.484075808
10:59:27,26.825818659,2.4837007965
10:59:28,26.8164433729,2.4833257851
10:59:29,26.8195684683,2.4815757317
10:59:30,26.8226935636,2.4822007508
10:59:31,26.8226935636,2.4819507431
10:59:32,26.8320688498,2.4817007355
10:59:33,26.8351939451,2.4834507889
10:59:34,26.8195684683,2.4824507584
10:59:35,26.8008178961,2.4832007813
10:59:36,26.7976928007,2.4818257393
10:59:37,26.7914426099,2.4819507431
10:59:39,26.8039429914,2.4824507584
10:59:40,26.8070680868,2.4837007965
10:59:41,26.8101931822,2.4849508347
10:59:42,26.7945677053,2.4835757927
10:59:43,26.7883175146,2.4822007508
10:59:44,26.7976928007,2.4824507584
10:59:45,26.7820673238,2.4847008271
10:59:46,26.7851924192,2.482700766
10:59:47,26.7945677053,2.4835757927
